gloss,signer,token_id,view_id,src,start_frame,end_frame,native_fps
NOW,signer002,now_signer002_1,front_b,https://www.bu.edu/asllvd/videos/now_signer002_1.mp4,0,86,30
OK,signer003,ok_signer003_1,front_b,https://www.bu.edu/asllvd/videos/ok_signer003_1.mp4,0,51,30
COOL,signer002,cool_signer002_1,front_b,https://www.bu.edu/asllvd/videos/cool_signer002_1.mp4,0,54,30
BUSY,signer001,busy_signer001_1,front_b,https://www.bu.edu/asllvd/videos/busy_signer001_1.mp4,0,43,30
READY,signer002,ready_signer002_1,front_a,https://www.bu.edu/asllvd/videos/ready_signer002_1.mp4,0,75,30
FAMILY,signer001,family_signer001_1,front_b,https://www.bu.edu/asllvd/videos/family_signer001_1.mp4,0,89,30
FRIEND,signer003,friend_signer003_1,front_b,https://www.bu.edu/asllvd/videos/friend_signer003_1.mp4,0,36,30
HELP,signer002,help_signer002_1,front_b,https://www.bu.edu/asllvd/videos/help_signer002_1.mp4,0,39,30
WANT,signer003,want_signer003_2,front_a,https://www.bu.edu/asllvd/videos/want_signer003_2.mp4,0,34,30
GO,signer001,go_signer001_1,front_b,https://www.bu.edu/asllvd/videos/go_signer001_1.mp4,0,67,30
SCHOOL,signer003,school_signer003_1,front_a,https://www.bu.edu/asllvd/videos/school_signer003_1.mp4,0,49,30
WORK,signer003,work_signer003_1,front_b,https://www.bu.edu/asllvd/videos/work_signer003_1.mp4,0,35,30
HAPPY,signer004,happy_signer004_2,front_a,https://www.bu.edu/asllvd/videos/happy_signer004_2.mp4,0,47,30
SICK,signer003,sick_signer003_1,front_a,https://www.bu.edu/asllvd/videos/sick_signer003_1.mp4,0,65,30
TIRED,signer003,tired_signer003_2,front_b,https://www.bu.edu/asllvd/videos/tired_signer003_2.mp4,0,36,30
FINISH,signer004,finish_signer004_1,front_a,https://www.bu.edu/asllvd/videos/finish_signer004_1.mp4,0,50,30
TIME,signer003,time_signer003_1,front_b,https://www.bu.edu/asllvd/videos/time_signer003_1.mp4,0,40,30
DON'T LIKE,signer005,don't_like_signer005_1,side,https://www.bu.edu/asllvd/videos/don't_like_signer005_1.mp4,0,69,30
HUNGRY,signer003,hungry_signer003_1,side,https://www.bu.edu/asllvd/videos/hungry_signer003_1.mp4,0,87,30
WHY,signer001,why_signer001_1,side,https://www.bu.edu/asllvd/videos/why_signer001_1.mp4,0,71,30
YES,signer002,yes_signer002_1,side,https://www.bu.edu/asllvd/videos/yes_signer002_1.mp4,0,39,30
PHONE,signer004,phone_signer004_1,side,https://www.bu.edu/asllvd/videos/phone_signer004_1.mp4,0,39,30
WAIT,signer004,wait_signer004_1,side,https://www.bu.edu/asllvd/videos/wait_signer004_1.mp4,0,53,30
SORRY,signer001,sorry_signer001_1,side,https://www.bu.edu/asllvd/videos/sorry_signer001_1.mp4,0,79,30
AGAIN,signer002,again_signer002_1,side,https://www.bu.edu/asllvd/videos/again_signer002_1.mp4,0,58,30
EXCUSE-ME,signer001,excuse-me_signer001_1,side,https://www.bu.edu/asllvd/videos/excuse-me_signer001_1.mp4,0,66,30
SEE-YOU,signer005,see-you_signer005_1,side,https://www.bu.edu/asllvd/videos/see-you_signer005_1.mp4,0,64,30
COME,signer001,come_signer001_1,side,https://www.bu.edu/asllvd/videos/come_signer001_1.mp4,0,45,30
SAD,signer001,sad_signer001_1,side,https://www.bu.edu/asllvd/videos/sad_signer001_1.mp4,0,78,30
LOVE,signer005,love_signer005_1,side,https://www.bu.edu/asllvd/videos/love_signer005_1.mp4,0,46,30
